state,age_of_mother,mothers_single_race,year_of_death,month_code,month,death_rate,after_injunction,abortion_illegal,reliable,date
Michigan,25-29,White,2022,8,August,5.76,1,0,Unreliable,2022-08-01
Michigan,25-29,White,2022,4,April,5.77,0,0,Unreliable,2022-04-01
Pennsylvania,30-34,White,2021,10,October,5.77,0,0,Unreliable,2021-10-01
Georgia,25-29,White,2022,3,March,5.79,0,0,Unreliable,2022-03-01
Ohio,25-29,White,2021,11,November,5.8,0,0,Unreliable,2021-11-01
Michigan,30-34,White,2022,10,October,5.8,1,0,Unreliable,2022-10-01
New York,25-29,White,2021,11,November,5.8,0,0,Unreliable,2021-11-01
North Carolina,30-34,White,2022,10,October,5.81,1,0,Unreliable,2022-10-01
Florida,30-34,White,2021,4,April,5.81,0,0,Reliable,2021-04-01
Texas,25-29,White,2021,3,March,5.82,0,1,Reliable,2021-03-01
Texas,20-24,White,2021,7,July,5.84,0,1,Reliable,2021-07-01
Indiana,25-29,White,2022,6,June,5.84,1,1,Unreliable,2022-06-01
Ohio,30-34,White,2021,3,March,5.85,0,0,Unreliable,2021-03-01
Georgia,25-29,White,2021,8,August,5.85,0,0,Unreliable,2021-08-01
Ohio,25-29,White,2022,9,September,5.91,1,0,Unreliable,2022-09-01
Texas,20-24,White,2022,7,July,5.91,1,1,Reliable,2022-07-01
Texas,20-24,White,2021,5,May,5.91,0,1,Reliable,2021-05-01
Arizona,30-34,White,2021,9,September,5.92,0,0,Unreliable,2021-09-01
Michigan,25-29,White,2022,6,June,5.93,1,0,Unreliable,2022-06-01
Ohio,25-29,White,2021,8,August,5.94,0,0,Unreliable,2021-08-01
Indiana,30-34,White,2021,7,July,5.95,0,1,Unreliable,2021-07-01
Georgia,25-29,White,2021,12,December,5.96,0,0,Unreliable,2021-12-01
New York,20-24,White,2022,3,March,5.96,0,0,Unreliable,2022-03-01
Florida,20-24,White,2021,3,March,5.98,0,0,Unreliable,2021-03-01
Ohio,30-34,White,2022,2,February,5.98,0,0,Unreliable,2022-02-01
Texas,25-29,White,2022,1,January,5.98,0,1,Reliable,2022-01-01
Indiana,25-29,White,2022,8,August,5.99,1,1,Unreliable,2022-08-01
Ohio,25-29,White,2022,1,January,6,0,0,Unreliable,2022-01-01
Illinois,25-29,White,2021,11,November,6.01,0,0,Unreliable,2021-11-01
Indiana,25-29,White,2021,3,March,6.02,0,1,Unreliable,2021-03-01
Indiana,25-29,White,2021,11,November,6.02,0,1,Unreliable,2021-11-01
New York,20-24,White,2022,10,October,6.02,1,0,Unreliable,2022-10-01
Arizona,30-34,White,2022,12,December,6.04,1,0,Unreliable,2022-12-01
Arizona,25-29,White,2022,1,January,6.06,0,0,Unreliable,2022-01-01
New York,20-24,White,2021,8,August,6.07,0,0,Unreliable,2021-08-01
Texas,20-24,White,2022,5,May,6.07,0,1,Reliable,2022-05-01
Ohio,30-34,White,2021,11,November,6.08,0,0,Unreliable,2021-11-01
California,20-24,White,2021,10,October,6.08,0,0,Reliable,2021-10-01
California,20-24,White,2022,2,February,6.1,0,0,Reliable,2022-02-01
California,30-34,Asian,2021,2,February,6.12,0,0,Unreliable,2021-02-01
Texas,20-24,White,2022,3,March,6.14,0,1,Reliable,2022-03-01
Georgia,25-29,White,2022,5,May,6.15,0,0,Unreliable,2022-05-01
Florida,25-29,White,2021,5,May,6.16,0,0,Reliable,2021-05-01
Illinois,25-29,White,2021,2,February,6.18,0,0,Unreliable,2021-02-01
Michigan,25-29,White,2021,1,January,6.2,0,0,Unreliable,2021-01-01
Pennsylvania,30-34,White,2022,1,January,6.22,0,0,Unreliable,2022-01-01
Texas,20-24,White,2022,12,December,6.26,1,1,Reliable,2022-12-01
Texas,20-24,White,2022,10,October,6.29,1,1,Reliable,2022-10-01
Texas,20-24,White,2021,11,November,6.31,0,1,Reliable,2021-11-01
Virginia,30-34,White,2022,10,October,6.31,1,0,Unreliable,2022-10-01
California,20-24,White,2021,3,March,6.32,0,0,Reliable,2021-03-01
North Carolina,25-29,White,2021,4,April,6.36,0,0,Unreliable,2021-04-01
Tennessee,25-29,White,2022,9,September,6.38,1,1,Unreliable,2022-09-01
Ohio,20-24,White,2022,6,June,6.39,1,0,Unreliable,2022-06-01
Ohio,30-34,White,2022,11,November,6.4,1,0,Unreliable,2022-11-01
Virginia,30-34,White,2021,12,December,6.4,0,0,Unreliable,2021-12-01
Indiana,25-29,White,2021,7,July,6.42,0,1,Unreliable,2021-07-01
New York,20-24,White,2021,9,September,6.45,0,0,Unreliable,2021-09-01
Arizona,30-34,White,2022,8,August,6.47,1,0,Unreliable,2022-08-01
Texas,15-19,White,2022,11,November,6.47,1,1,Unreliable,2022-11-01
Georgia,25-29,White,2022,9,September,6.47,1,0,Unreliable,2022-09-01
Georgia,25-29,White,2021,11,November,6.48,0,0,Unreliable,2021-11-01
Tennessee,30-34,White,2022,8,August,6.49,1,1,Unreliable,2022-08-01
Arizona,25-29,White,2021,3,March,6.5,0,0,Unreliable,2021-03-01
New York,20-24,White,2021,12,December,6.52,0,0,Unreliable,2021-12-01
Pennsylvania,25-29,White,2022,7,July,6.52,1,0,Unreliable,2022-07-01
Florida,20-24,White,2021,4,April,6.54,0,0,Unreliable,2021-04-01
Texas,20-24,White,2022,6,June,6.6,1,1,Reliable,2022-06-01
Florida,20-24,White,2021,8,August,6.64,0,0,Unreliable,2021-08-01
Texas,15-19,White,2021,8,August,6.65,0,1,Unreliable,2021-08-01
North Carolina,25-29,White,2022,10,October,6.69,1,0,Unreliable,2022-10-01
