"","Notes","State","State.Code","Age.of.Mother.9","Age.of.Mother.9.Code","Mother.s.Single.Race.6","Mother.s.Single.Race.6.Code","Year.of.Death","Year.of.Death.Code","Month","Month.Code","Deaths","Births","Death.Rate"
"164","","New York",36,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,12,2650,"4.53 (Unreliable)"
"165","","Illinois",17,"30-34 years","30-34","White","2106-3",2021,2021,"October",10,13,2862,"4.54 (Unreliable)"
"166","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"November",11,11,2403,"4.58 (Unreliable)"
"167","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"April",4,17,3707,"4.59 (Unreliable)"
"168","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"October",10,35,7599,"4.61"
"169","","California",6,"30-34 years","30-34","Asian","A",2022,2022,"July",7,10,2169,"4.61 (Unreliable)"
"170","","Florida",12,"20-24 years","20-24","White","2106-3",2022,2022,"November",11,10,2167,"4.61 (Unreliable)"
"171","","Michigan",26,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,10,2160,"4.63 (Unreliable)"
"172","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"March",3,24,5182,"4.63"
"173","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,38,8203,"4.63"
"174","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"July",7,33,7112,"4.64"
"175","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"September",9,37,7950,"4.65"
"176","","Florida",12,"30-34 years","30-34","White","2106-3",2021,2021,"May",5,18,3865,"4.66 (Unreliable)"
"177","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"June",6,31,6652,"4.66"
"178","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"March",3,35,7498,"4.67"
"179","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"January",1,10,2133,"4.69 (Unreliable)"
"180","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"September",9,20,4254,"4.70"
"181","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,12,2549,"4.71 (Unreliable)"
"182","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"October",10,12,2548,"4.71 (Unreliable)"
"183","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"December",12,34,7194,"4.73"
"184","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"July",7,20,4225,"4.73"
"185","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2021,2021,"December",12,13,2727,"4.77 (Unreliable)"
"186","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"April",4,33,6921,"4.77"
"187","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"July",7,38,7968,"4.77"
"188","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"July",7,21,4395,"4.78"
"189","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2021,2021,"May",5,11,2301,"4.78 (Unreliable)"
"190","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,23,4800,"4.79"
"191","","Texas",48,"20-24 years","20-24","White","2106-3",2022,2022,"November",11,27,5633,"4.79"
"192","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"February",2,27,5630,"4.80"
"193","","Florida",12,"20-24 years","20-24","White","2106-3",2022,2022,"March",3,10,2085,"4.80 (Unreliable)"
"194","","Florida",12,"30-34 years","30-34","White","2106-3",2022,2022,"January",1,20,4155,"4.81"
"195","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"August",8,13,2700,"4.81 (Unreliable)"
"196","","California",6,"20-24 years","20-24","White","2106-3",2022,2022,"March",3,19,3941,"4.82 (Unreliable)"
"197","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,12,2488,"4.82 (Unreliable)"
"198","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2021,2021,"March",3,14,2902,"4.82 (Unreliable)"
"199","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,12,2486,"4.83 (Unreliable)"
"200","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"October",10,11,2278,"4.83 (Unreliable)"
"201","","California",6,"30-34 years","30-34","White","2106-3",2021,2021,"January",1,35,7248,"4.83"
"202","","North Carolina",37,"30-34 years","30-34","White","2106-3",2021,2021,"November",11,10,2067,"4.84 (Unreliable)"
"203","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"September",9,12,2479,"4.84 (Unreliable)"
"204","","Florida",12,"20-24 years","20-24","White","2106-3",2021,2021,"November",11,10,2065,"4.84 (Unreliable)"
"205","","Michigan",26,"25-29 years","25-29","White","2106-3",2022,2022,"July",7,10,2060,"4.85 (Unreliable)"
"206","","North Carolina",37,"30-34 years","30-34","White","2106-3",2022,2022,"April",4,10,2060,"4.85 (Unreliable)"
"207","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"September",9,21,4312,"4.87"
"208","","Michigan",26,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,11,2253,"4.88 (Unreliable)"
"209","","North Carolina",37,"30-34 years","30-34","White","2106-3",2022,2022,"May",5,10,2041,"4.90 (Unreliable)"
"210","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"May",5,34,6929,"4.91"
"211","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2022,2022,"July",7,15,3056,"4.91 (Unreliable)"
"212","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"September",9,19,3868,"4.91 (Unreliable)"
"213","","Illinois",17,"30-34 years","30-34","White","2106-3",2022,2022,"February",2,12,2433,"4.93 (Unreliable)"
"214","","Ohio",39,"30-34 years","30-34","White","2106-3",2021,2021,"February",2,11,2229,"4.93 (Unreliable)"
"215","","California",6,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,44,8904,"4.94"
"216","","Texas",48,"25-29 years","25-29","White","2106-3",2022,2022,"December",12,39,7883,"4.95"
"217","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"March",3,11,2223,"4.95 (Unreliable)"
"218","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2022,2022,"September",9,12,2415,"4.97 (Unreliable)"
"219","","Texas",48,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,34,6822,"4.98"
"220","","Texas",48,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,39,7824,"4.98"
"221","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,14,2807,"4.99 (Unreliable)"
"222","","New York",36,"25-29 years","25-29","White","2106-3",2021,2021,"August",8,15,3003,"5.00 (Unreliable)"
"223","","New Jersey",34,"30-34 years","30-34","White","2106-3",2022,2022,"August",8,12,2401,"5.00 (Unreliable)"
"224","","North Carolina",37,"25-29 years","25-29","White","2106-3",2021,2021,"September",9,10,1998,"5.01 (Unreliable)"
"225","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2021,2021,"December",12,11,2196,"5.01 (Unreliable)"
"226","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"August",8,22,4391,"5.01"
"227","","North Carolina",37,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,10,1995,"5.01 (Unreliable)"
"228","","California",6,"20-24 years","20-24","White","2106-3",2021,2021,"June",6,20,3987,"5.02"
"229","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2022,2022,"June",6,15,2978,"5.04 (Unreliable)"
"230","","North Carolina",37,"25-29 years","25-29","White","2106-3",2021,2021,"June",6,10,1979,"5.05 (Unreliable)"
